scenario,policy,mesh_backend,mesh_mode,status,point_to_cell_match,sdf_roundtrip_acc,mesh_boundary_iou,mesh_boundary_dice,bbox_center_shift_nm,bbox_size_l2_nm,surface_area_rel_error,render_diff_rate,error
cube,nearest,naive_interface,material_shell,OK,1.0,1.0,0.0,0.0,0.0,3.4641016151377544,1.1043478260869566,0.0,
cube,nearest,naive_interface,interface_mesh,OK,1.0,1.0,0.0,0.0,0.0,3.4641016151377544,1.1043478260869566,0.0,
cube,nearest,vtk,material_shell,OK,1.0,1.0,0.0,0.0,0.0,3.4641016151377544,1.1043478260869566,0.0,
cube,nearest,vtk,interface_mesh,OK,1.0,1.0,0.0,0.0,0.0,3.4641016151377544,1.0847826086956522,0.0,
cube,majority,naive_interface,material_shell,OK,0.947021484375,1.0,0.0,0.0,0.0,3.4641016151377544,1.1329639889196677,0.0,
cube,majority,naive_interface,interface_mesh,OK,0.947021484375,1.0,0.0,0.0,0.0,3.4641016151377544,1.1329639889196677,0.0,
cube,majority,vtk,material_shell,OK,0.947021484375,1.0,0.0,0.0,0.0,3.4641016151377544,1.1329639889196677,0.0,
cube,majority,vtk,interface_mesh,OK,0.947021484375,1.0,0.0,0.0,0.0,3.4641016151377544,1.10803324099723,0.0,
layers3,nearest,naive_interface,material_shell,OK,1.0,1.0,0.0,0.0,0.0,2.0,0.5,0.0,
layers3,nearest,naive_interface,interface_mesh,OK,1.0,1.0,0.0,0.0,0.0,2.0,0.5,0.0,
layers3,nearest,vtk,material_shell,OK,1.0,1.0,0.0,0.0,0.0,2.0,0.5,0.0,
layers3,nearest,vtk,interface_mesh,OK,1.0,1.0,0.0,0.0,0.0,2.0,0.5,0.0,
layers3,majority,naive_interface,material_shell,OK,0.9285714285714286,1.0,0.1,0.18181818181818182,0.0,2.0,0.75,0.0,
layers3,majority,naive_interface,interface_mesh,OK,0.9285714285714286,1.0,0.1,0.18181818181818182,0.0,2.0,0.75,0.0,
layers3,majority,vtk,material_shell,OK,0.9285714285714286,1.0,0.1,0.18181818181818182,0.0,2.0,0.75,0.0,
layers3,majority,vtk,interface_mesh,OK,0.9285714285714286,1.0,0.1,0.18181818181818182,0.0,2.0,0.75,0.0,
thin_shell,nearest,naive_interface,material_shell,OK,1.0,1.0,0.0,0.0,0.0,3.4641016151377544,0.05748502994011976,0.0,
thin_shell,nearest,naive_interface,interface_mesh,OK,1.0,1.0,0.0,0.0,0.0,3.4641016151377544,0.05748502994011976,0.0,
thin_shell,nearest,vtk,material_shell,OK,1.0,1.0,0.0,0.0,0.0,3.4641016151377544,0.05748502994011976,0.0,
thin_shell,nearest,vtk,interface_mesh,OK,1.0,1.0,0.0,0.0,0.0,3.4641016151377544,0.052095808383233536,0.0,
thin_shell,majority,naive_interface,material_shell,OK,0.8628257887517147,1.0,0.0,0.0,0.0,3.4641016151377544,2.316353887399464,0.0,
thin_shell,majority,naive_interface,interface_mesh,OK,0.8628257887517147,1.0,0.0,0.0,0.0,3.4641016151377544,2.316353887399464,0.0,
thin_shell,majority,vtk,material_shell,OK,0.8628257887517147,1.0,0.0,0.0,0.0,3.4641016151377544,2.316353887399464,0.0,
thin_shell,majority,vtk,interface_mesh,OK,0.8628257887517147,1.0,0.0,0.0,0.0,3.4641016151377544,2.292225201072386,0.0,
diagonal,nearest,naive_interface,material_shell,OK,1.0,1.0,0.02072141212586339,0.0406015037593985,0.0,0.0,0.8,0.0,
diagonal,nearest,naive_interface,interface_mesh,OK,1.0,1.0,0.02072141212586339,0.0406015037593985,0.0,0.0,0.8,0.0,
diagonal,nearest,vtk,material_shell,OK,1.0,1.0,0.02350265352539803,0.045925925925925926,0.0,0.0,0.8421052631578947,0.0,
diagonal,nearest,vtk,interface_mesh,OK,1.0,1.0,0.031818181818181815,0.06167400881057269,0.0,0.0,0.8673684210526316,0.0,
diagonal,majority,naive_interface,material_shell,OK,0.977294921875,1.0,0.02127659574468085,0.041666666666666664,0.0,0.0,0.8058455114822547,0.0,
diagonal,majority,naive_interface,interface_mesh,OK,0.977294921875,1.0,0.02127659574468085,0.041666666666666664,0.0,0.0,0.8058455114822547,0.0,
diagonal,majority,vtk,material_shell,OK,0.977294921875,1.0,0.023952095808383235,0.04678362573099415,0.0,0.0,0.8559498956158664,0.0,
