scenario,policy,mesh_backend,mesh_mode,status,point_to_cell_match,sdf_roundtrip_acc,mesh_boundary_iou,mesh_boundary_dice,mesh_boundary_chamfer_nm,mesh_boundary_coverage,bbox_center_shift_nm,bbox_size_l2_nm,surface_area_rel_error,render_diff_rate,row_pass_all_thresholds,error
cube,nearest,naive_interface,material_shell,OK,1.0,1.0,1.0,1.0,0.5527708605548838,1.0,0.8660254037844386,0.0,0.05652173913043478,0.0,True,
cube,nearest,naive_interface,interface_mesh,OK,1.0,1.0,1.0,1.0,0.5527708605548838,1.0,0.8660254037844386,0.0,0.05652173913043478,0.0,True,
cube,nearest,vtk,material_shell,OK,1.0,1.0,0.9524793388429752,0.9756613756613756,0.6580519902122494,0.9524793388429752,0.8660254037844386,0.0,0.013881981891134512,0.0,True,
cube,nearest,vtk,interface_mesh,OK,1.0,1.0,0.953125,0.976,0.6609047981435836,0.953125,0.8660254037844386,0.0,0.01764732029127038,0.0,True,
cube,majority_nearest_tie,naive_interface,material_shell,OK,0.993896484375,1.0,1.0,1.0,0.5527708574988637,1.0,0.8660254037844386,0.0,0.1111111111111111,0.0,True,
cube,majority_nearest_tie,naive_interface,interface_mesh,OK,0.993896484375,1.0,1.0,1.0,0.5527708574988637,1.0,0.8660254037844386,0.0,0.1111111111111111,0.0,True,
cube,majority_nearest_tie,vtk,material_shell,OK,0.993896484375,1.0,0.9079497907949791,0.9517543859649122,0.6509809733773078,0.9079497907949791,0.8660254037844386,0.0,0.006432709870515046,0.0,True,
cube,majority_nearest_tie,vtk,interface_mesh,OK,0.993896484375,1.0,0.9077412513255567,0.9516397998888271,0.6562089235941031,0.9077412513255567,0.8660254037844386,0.0,8.251048900462963e-05,0.0,True,
layers3,nearest,naive_interface,material_shell,OK,1.0,1.0,1.0,1.0,0.5527708582135216,1.0,0.5,1.4142135623730951,0.0,0.0,True,
layers3,nearest,naive_interface,interface_mesh,OK,1.0,1.0,1.0,1.0,0.5527708582135216,1.0,0.5,1.4142135623730951,0.0,0.0,True,
layers3,nearest,vtk,material_shell,OK,1.0,1.0,1.0,1.0,0.6882573563453903,1.0,0.5,0.0,0.1377551020408163,0.0,True,
layers3,nearest,vtk,interface_mesh,OK,1.0,1.0,1.0,1.0,0.6882573563453903,1.0,0.5,0.0,0.1377551020408163,0.0,True,
layers3,majority_nearest_tie,naive_interface,material_shell,OK,1.0,1.0,1.0,1.0,0.5527708582135216,1.0,0.5,1.4142135623730951,0.0,0.0,True,
layers3,majority_nearest_tie,naive_interface,interface_mesh,OK,1.0,1.0,1.0,1.0,0.5527708582135216,1.0,0.5,1.4142135623730951,0.0,0.0,True,
layers3,majority_nearest_tie,vtk,material_shell,OK,1.0,1.0,1.0,1.0,0.6882573563453903,1.0,0.5,0.0,0.1377551020408163,0.0,True,
layers3,majority_nearest_tie,vtk,interface_mesh,OK,1.0,1.0,1.0,1.0,0.6882573563453903,1.0,0.5,0.0,0.1377551020408163,0.0,True,
thin_shell,nearest,naive_interface,material_shell,OK,1.0,1.0,1.0,1.0,0.5527708874242836,1.0,0.8660254037844386,0.0,0.041916167664670656,0.0,True,
thin_shell,nearest,naive_interface,interface_mesh,OK,1.0,1.0,1.0,1.0,0.5527708874242836,1.0,0.8660254037844386,0.0,0.041916167664670656,0.0,True,
thin_shell,nearest,vtk,material_shell,OK,1.0,1.0,0.9631336405529954,0.9812206572769953,0.6653646876896877,0.9631336405529954,0.8660254037844386,0.0,0.009496924120508982,0.0,True,
thin_shell,nearest,vtk,interface_mesh,OK,1.0,1.0,0.9635416666666666,0.9814323607427056,0.6669586777868364,0.9635416666666666,0.8660254037844386,0.0,0.011571169185067365,0.0,True,
thin_shell,majority_nearest_tie,naive_interface,material_shell,OK,0.9883401920438958,1.0,1.0,1.0,0.5527708858159563,1.0,0.8660254037844386,0.0,0.08270676691729323,0.0,True,
thin_shell,majority_nearest_tie,naive_interface,interface_mesh,OK,0.9883401920438958,1.0,1.0,1.0,0.5527708858159563,1.0,0.8660254037844386,0.0,0.08270676691729323,0.0,True,
thin_shell,majority_nearest_tie,vtk,material_shell,OK,0.9883401920438958,1.0,0.9280742459396751,0.9626955475330926,0.6597870912935495,0.9280742459396751,0.8660254037844386,0.0,0.006218931728735902,0.0,True,
thin_shell,majority_nearest_tie,vtk,interface_mesh,OK,0.9883401920438958,1.0,0.9281122150789012,0.9627159745377387,0.662649830418842,0.9281122150789012,0.8660254037844386,0.0,0.0026918951431312657,0.0,True,
diagonal,nearest,naive_interface,material_shell,OK,1.0,1.0,1.0,1.0,0.5527708682086677,1.0,0.0,1.7320508075688772,0.28210526315789475,0.0,True,
diagonal,nearest,naive_interface,interface_mesh,OK,1.0,1.0,1.0,1.0,0.5527708682086677,1.0,0.0,1.7320508075688772,0.28210526315789475,0.0,True,
diagonal,nearest,vtk,material_shell,OK,1.0,1.0,1.0,1.0,0.5156041671342184,1.0,0.0,0.0,0.14258275082236843,0.0,True,
diagonal,nearest,vtk,interface_mesh,OK,1.0,1.0,1.0,1.0,0.6240909052247439,1.0,0.0,0.0,0.26017989309210526,0.0,True,
diagonal,majority_nearest_tie,naive_interface,material_shell,OK,0.997802734375,1.0,1.0,1.0,0.5527708681341761,1.0,0.0,1.7320508075688772,0.2791666666666667,0.0,True,
diagonal,majority_nearest_tie,naive_interface,interface_mesh,OK,0.997802734375,1.0,1.0,1.0,0.5527708681341761,1.0,0.0,1.7320508075688772,0.2791666666666667,0.0,True,
diagonal,majority_nearest_tie,vtk,material_shell,OK,0.997802734375,1.0,1.0,1.0,0.5113373536780326,1.0,0.0,0.0,0.1560586929321289,0.0,True,
diagonal,majority_nearest_tie,vtk,interface_mesh,OK,0.997802734375,1.0,1.0,1.0,0.6201327981261597,1.0,0.0,0.0,0.27423502604166666,0.0,True,
real_vti,nearest,naive_interface,material_shell,OK,1.0,1.0,1.0,1.0,0.5527709979577939,1.0,0.5,1.4142135623730951,0.18994401759744795,0.0,True,
real_vti,nearest,naive_interface,interface_mesh,OK,1.0,1.0,1.0,1.0,0.5527709979577939,1.0,0.5,1.4142135623730951,0.18994401759744795,0.0,True,
real_vti,nearest,vtk,material_shell,OK,1.0,1.0,0.9936151579601292,0.996797354788171,0.6210404043785673,0.9936151579601292,0.5,0.0,0.00099917381649865,0.0,True,
real_vti,nearest,vtk,interface_mesh,OK,1.0,1.0,0.9932749096799439,0.996626109982423,0.6368609117640673,0.9932749096799439,0.5,0.0,0.02614230619872189,0.0,True,
real_vti,majority_nearest_tie,naive_interface,material_shell,OK,0.9936983191794074,1.0,1.0,1.0,0.5527709246044525,1.0,0.5,1.4142135623730951,0.06321206071662135,0.0,True,
real_vti,majority_nearest_tie,naive_interface,interface_mesh,OK,0.9936983191794074,1.0,1.0,1.0,0.5527709246044525,1.0,0.5,1.4142135623730951,0.06321206071662135,0.0,True,
real_vti,majority_nearest_tie,vtk,material_shell,OK,0.9936983191794074,1.0,0.9790517416511697,0.9894150021912248,0.6561600463533314,0.9790517416511697,0.5,0.0,0.024742899829621724,0.0,True,
real_vti,majority_nearest_tie,vtk,interface_mesh,OK,0.9936983191794074,1.0,0.9794228968469425,0.9896044937209552,0.6580849995209503,0.9794228968469425,0.5,0.0,0.0213931489433105,0.0,True,
